German,English
diesem,This
meinem,my
lange,Long
lass,let
dieses,this
helfen,help
unsere,our
Weg,path
selbst,self
nur,only
finden,Find
mal Mal,time
jemand,someone
denke,think
ach,Oh
Nacht,night
genau,precisely
gar,at all
sagt,says
Welt,world
auf,on
Mädchen,girl
ins,into the
hin,there
vom,from the
schön,Nice
warum,why
weiter,Further
leid Leid,sorry
gleich,same
wer,who
man,one
ohne,without
Menschen,people
deinen,yours
leid,suffering
wieso,how come
dort,there
als,as
Hause,Home
sollten,should
davon,of that
zusammen,together
geben,give
hör,hear
machst,make
Freund,friend
richtig,correct
Angst,anxiety
bist,are you
tut,does
mit,with
viele,many
sieht,sees
Haus,House
tot,dead
sollen,should
ganze,whole
andere,other
getan,did
rein,pure
diese,these
Moment,moment
bleiben,stay
brauchen,to need
weil,because
Kinder,children
unter,under
Arbeit,job
für,for
Problem,problem
dafür,Therefore
Herr,Mr
haben,to have
wegen,because
geht's,Let's go
liebe,love
genug,enough
dabei,included
bringen,bring
ihre Ihre,Yours
ne,ne
gegen,against
weißt,whisper
sag,say
schnell,fast
waren,was
bis,until
vielleicht,perhaps
könnte,could
eine,one
bitte Bitte,Please please
weg,path
seine,his
lassen,permit
Vater,father
gesehen,seen
nun,well
gerade,just
alles,All
glaube,faith
Tag,Day
ab,away
Geld,money
gemacht,made
nein,no
sollte,should
sagte,said
keinen,none
durch,by
zwei,two
diesen,this
passiert,happened
wohl,well
vielleicht,perhaps
ihre,their
Mutter,mother
reden,talk
anderen,others
dachte,thought
daß,that
möchte,would like to
wirst,become
gehört,heard
weißt,whisper
keine,no
raus,Out
meine,my
paar,pair